Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
27,18,27,24,27,24
23,21,22,14,15,26
23,20,21,13,15,25
24,20,20,14,16,25
25,20,19,13,17,25
26,20,20,14,18,25
25,20,19,15,18,26
26,20,20,16,18,25
26,19,20,17,19,25
27,19,20,16,20,25
27,18,19,16,20,24
27,18,20,16,20,25
27,18,19,16,20,24
27,18,18,16,20,25
27,18,17,17,21,25
27,18,16,18,22,25
27,18,17,19,22,26
27,18,18,20,22,25
27,18,19,21,22,26
27,18,20,22,22,25
27,18,19,23,22,24
27,18,20,22,22,23
27,18,19,23,23,23
27,18,19,24,24,23
27,18,20,23,24,24
27,18,21,22,25,24
27,18,22,21,25,23
27,18,21,22,25,24
27,18,22,23,25,25
27,18,23,22,26,25
27,18,24,23,26,24
27,18,25,24,26,25
27,18,26,23,27,25
27,18,26,24,27,25
27,18,25,25,27,25
27,18,25,24,27,24
27,18,25,23,27,24
27,18,26,24,27,24
27,18,27,24,27,24
