Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,9,14,10,25,11
11,7,17,5,26,11
12,7,16,6,25,11
13,7,15,7,25,11
13,7,14,8,25,11
14,7,15,9,25,11
14,8,16,8,25,11
14,8,15,9,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
14,9,14,10,25,11
