Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
24,23,8,23,8,23
26,24,20,16,4,14
25,24,19,15,5,14
25,23,18,15,5,15
26,23,19,14,5,16
25,23,18,15,6,16
24,23,19,16,5,16
25,23,18,17,6,16
24,23,18,16,5,16
24,22,18,15,6,16
24,21,17,16,6,17
24,20,17,17,7,17
25,20,17,16,8,17
24,20,17,17,7,17
25,20,17,16,6,17
25,19,17,17,7,17
26,19,17,18,8,17
27,19,16,19,8,18
27,19,15,20,8,19
26,19,14,19,8,19
26,19,14,20,8,19
26,20,15,19,8,19
27,20,15,20,7,19
27,20,14,21,7,20
27,21,13,20,7,20
27,20,13,19,8,20
28,20,12,18,8,20
28,21,13,19,8,20
28,22,12,20,8,21
27,22,11,21,8,22
26,22,10,22,8,22
26,22,10,23,8,22
26,21,11,22,8,22
25,21,11,21,8,21
25,21,11,22,8,21
25,22,10,21,8,21
24,22,10,22,7,21
24,22,9,23,7,22
24,21,10,22,7,22
24,20,9,22,7,23
24,21,8,23,7,24
24,22,9,24,7,23
24,23,8,23,8,23
