Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
6,5,6,1,6,1
3,12,8,16,22,11
4,13,9,17,21,12
5,14,10,18,20,13
6,15,11,19,19,13
7,16,12,20,18,14
8,17,13,21,17,15
9,18,14,20,16,16
10,19,15,19,16,15
11,19,15,18,15,14
12,18,14,17,14,13
13,19,15,16,13,12
14,18,14,15,12,12
14,17,13,14,11,11
13,16,12,13,10,10
12,15,11,12,9,9
11,14,10,11,8,8
10,13,9,10,7,7
9,12,8,9,6,6
8,11,7,8,5,5
7,10,6,7,4,4
6,9,5,6,3,3
5,8,4,5,2,2
4,7,3,4,3,1
3,6,4,3,4,0
4,5,3,2,5,0
3,5,4,1,6,1
2,4,5,2,7,2
1,3,6,3,8,3
2,3,7,3,9,4
3,3,8,3,10,5
4,3,9,4,11,6
5,4,10,5,12,7
6,5,11,6,13,8
7,6,12,7,14,9
8,7,13,8,15,10
9,8,14,9,16,11
10,9,15,10,17,12
11,10,16,11,18,13
12,11,17,12,18,14
13,12,17,13,17,15
14,11,16,14,16,16
15,10,15,15,15,17
15,11,15,16,14,18
15,12,15,17,15,19
15,13,15,18,14,20
15,14,15,19,13,21
15,15,14,20,12,20
15,16,13,19,11,19
16,17,12,18,10,18
15,18,11,17,9,17
14,17,10,18,8,16
13,18,9,17,7,15
12,17,8,16,6,14
11,16,7,15,5,13
10,15,6,14,4,12
9,14,5,13,5,11
8,15,6,12,6,10
7,16,7,11,7,9
7,15,7,10,8,8
7,14,7,9,7,7
6,13,7,8,6,6
6,12,6,7,7,5
6,11,6,6,6,4
6,10,6,5,5,3
6,9,6,4,6,2
6,8,6,3,5,1
6,7,6,2,6,0
6,6,6,1,5,0
6,5,6,1,6,1
