Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
5,3,2,4,2,4
16,26,2,11,21,9
15,25,3,11,20,10
14,24,4,11,19,11
13,23,5,11,18,12
12,22,6,12,17,13
11,21,7,13,16,14
10,20,6,12,15,15
9,19,5,11,14,16
8,18,4,11,13,17
7,17,3,11,12,18
6,16,3,11,11,17
5,15,3,11,10,16
5,14,3,11,9,15
4,15,3,11,8,14
3,16,4,11,7,15
2,15,5,11,6,16
1,14,5,11,5,16
2,13,4,11,4,16
1,12,5,11,3,16
1,11,6,12,2,15
2,10,7,13,1,14
3,10,6,13,2,13
4,10,6,12,1,12
5,9,7,13,1,11
6,9,8,14,2,10
7,10,9,15,3,10
8,11,10,16,4,10
9,12,11,17,5,11
10,13,12,18,6,12
11,14,13,19,7,13
12,15,14,20,8,14
13,16,15,21,9,15
14,17,15,22,10,16
15,18,14,23,11,17
16,19,13,22,12,18
17,20,13,21,13,17
16,21,14,20,14,16
15,22,15,19,15,15
15,21,15,18,14,14
15,20,15,17,15,13
15,19,15,16,14,12
15,18,15,15,15,11
15,17,15,14,14,11
14,16,15,13,13,10
15,15,14,12,12,9
14,14,13,11,11,8
13,13,12,10,10,7
12,12,11,9,9,6
11,11,10,8,8,5
10,10,9,7,7,4
9,9,8,6,6,3
8,8,7,5,5,2
7,7,6,4,4,1
6,6,5,3,3,0
5,5,4,2,2,1
5,4,3,2,1,2
6,4,2,3,1,3
5,3,2,4,2,4
