Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
21,4,22,1,22,1
15,19,20,24,14,24
16,19,20,23,15,23
17,18,19,22,15,22
18,18,18,21,14,21
19,19,17,20,13,20
18,20,16,19,12,19
17,19,15,20,11,20
16,20,14,19,10,19
15,19,13,20,9,20
14,20,12,19,8,21
13,19,11,20,8,22
12,20,10,21,7,23
11,21,9,22,6,24
10,22,8,23,5,25
9,23,7,24,4,24
8,24,6,23,3,23
7,23,5,24,2,22
6,24,4,23,2,21
5,23,3,22,3,20
4,24,4,21,4,19
3,23,4,20,5,18
3,22,4,19,6,17
3,21,5,18,7,16
4,20,6,17,8,15
5,19,7,16,9,14
6,18,8,15,10,13
6,17,9,14,11,12
7,16,10,13,12,12
8,15,11,13,13,13
9,14,12,14,14,12
10,15,13,13,15,11
11,14,14,12,16,10
12,13,15,11,17,9
13,12,16,10,18,8
14,11,17,9,19,7
15,10,18,8,20,6
16,9,19,7,21,5
17,8,20,6,22,4
18,7,21,5,23,3
19,6,22,4,24,2
20,5,23,3,23,1
21,6,22,2,22,0
22,5,21,1,21,0
21,4,22,1,22,1
