Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
6,27,7,28,7,28
23,18,25,25,3,14
24,19,26,26,4,15
25,20,27,27,5,16
26,21,26,28,6,17
26,22,26,28,7,18
26,23,26,28,8,19
26,24,26,28,9,20
26,25,26,28,10,21
26,26,26,28,11,22
26,27,27,28,12,23
27,28,27,27,13,24
27,27,26,26,14,25
26,26,25,25,15,26
25,25,24,24,16,26
24,24,23,25,17,25
23,25,22,25,18,24
22,25,21,24,17,25
21,24,20,23,16,24
20,23,19,24,15,23
19,24,18,23,14,22
18,23,17,23,13,23
17,23,16,23,12,22
16,23,15,22,11,23
15,22,14,21,10,22
14,21,13,22,9,21
13,22,12,21,8,22
12,21,11,20,7,23
11,20,10,21,8,24
10,21,9,22,7,25
9,22,8,23,6,26
8,23,7,24,5,27
7,24,6,25,6,28
6,25,7,26,7,29
7,26,6,27,6,29
6,27,7,28,7,28
