Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
6,7,2,7,2,7
17,9,26,25,26,8
18,10,25,25,25,9
19,11,24,25,24,10
19,12,23,24,23,11
18,13,22,23,22,12
17,14,21,22,21,13
16,15,20,21,20,14
15,16,19,20,19,15
14,17,18,19,18,15
14,18,17,18,17,14
15,19,16,17,16,13
16,18,15,16,15,12
15,17,16,15,16,11
16,16,15,14,17,10
15,15,16,13,18,10
16,14,17,12,19,9
17,13,18,11,20,8
18,12,19,10,21,7
19,11,20,9,22,6
20,10,21,8,23,5
21,9,22,7,24,4
22,8,23,6,25,3
23,7,24,5,26,2
24,6,25,4,25,1
25,5,24,3,24,0
24,4,25,2,23,0
25,3,24,1,22,1
26,2,23,2,21,2
25,1,22,2,20,3
24,1,21,2,19,4
23,1,20,3,18,5
22,2,19,4,17,6
21,3,18,5,16,7
20,4,17,6,15,8
19,5,16,7,14,9
18,6,15,8,13,10
17,7,14,9,12,11
16,8,13,10,11,12
15,9,12,11,10,13
14,10,11,12,9,14
13,11,10,13,8,15
12,12,9,14,7,16
11,12,8,15,6,17
10,13,7,16,5,18
9,14,6,17,4,19
8,15,5,18,3,20
7,16,4,19,2,21
6,17,3,20,1,22
5,18,2,21,2,23
4,18,3,22,3,24
3,19,4,23,4,25
4,20,3,24,5,26
3,21,4,25,6,27
4,22,5,26,7,28
5,23,6,27,8,29
6,24,7,28,9,28
5,25,8,27,10,27
4,26,9,26,11,26
5,26,10,26,12,25
6,26,11,26,13,26
7,26,12,26,14,27
8,26,13,26,15,28
9,26,14,27,16,29
10,27,15,28,17,28
11,28,16,27,18,27
12,27,17,28,19,26
13,28,18,27,20,25
14,27,19,26,21,24
15,27,20,25,22,23
16,26,21,24,23,22
17,25,22,23,24,21
18,24,23,22,25,20
19,23,24,21,26,19
20,22,25,20,27,18
21,21,26,19,28,17
22,20,27,18,27,16
23,19,26,17,26,15
24,20,25,16,25,14
25,19,24,15,24,13
24,18,25,14,23,12
25,17,24,13,22,11
24,16,23,12,21,10
23,15,22,11,20,9
22,14,21,10,19,8
21,13,20,9,18,7
20,12,19,8,17,6
19,11,18,7,16,5
18,10,17,6,15,4
17,9,16,5,14,4
16,8,15,5,13,5
17,8,14,6,12,6
18,7,13,7,11,7
17,7,12,7,10,6
16,7,11,7,9,7
15,7,10,7,8,6
14,7,9,7,7,7
13,7,8,7,6,6
12,7,7,7,5,7
11,7,6,7,4,6
10,7,5,7,3,7
9,7,4,7,2,6
8,7,3,7,1,7
7,7,2,7,1,6
6,7,2,7,2,7
