Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
21,4,20,4,20,4
19,6,5,16,17,28
19,7,6,17,18,27
18,8,7,18,19,26
17,9,8,18,18,25
16,10,9,18,17,24
15,11,10,19,16,23
14,12,11,19,15,22
13,13,12,20,16,21
12,14,13,20,17,20
13,15,14,19,18,19
14,16,15,18,19,18
13,17,16,19,20,17
14,18,17,18,20,16
15,18,18,17,21,15
16,17,19,16,22,15
17,17,20,16,22,16
18,16,21,17,23,15
18,17,22,16,24,14
19,16,23,15,23,13
20,16,23,14,22,12
21,17,23,13,21,12
22,16,22,12,20,13
23,15,22,11,19,14
24,14,22,10,19,15
24,13,22,9,20,14
23,12,22,8,21,15
23,11,21,7,22,15
22,10,20,6,23,14
21,9,20,5,22,13
20,8,21,4,21,12
21,7,21,3,20,11
20,6,20,2,21,10
20,5,21,1,21,9
21,4,22,1,20,8
22,3,21,1,21,7
21,2,20,1,22,6
20,1,21,2,21,5
21,2,20,3,20,6
20,3,21,4,21,5
21,4,20,4,20,4
