Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
6,6,7,7,6,11
8,14,3,6,15,20
7,13,3,6,14,19
6,12,3,6,13,18
5,11,3,6,12,17
4,10,3,6,11,16
3,9,4,5,10,15
4,8,5,4,9,14
5,7,6,3,8,13
6,6,7,2,7,12
7,5,6,1,6,11
6,4,5,1,7,10
5,3,6,1,7,9
6,2,7,1,6,8
7,1,6,2,6,7
6,2,7,3,7,7
7,3,6,4,6,8
6,4,5,5,7,9
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
6,6,5,5,6,11
5,5,6,6,7,10
6,6,7,7,6,11
7,7,6,6,5,12
