Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
24,15,27,15,27,15
2,24,8,23,9,6
3,23,9,22,8,7
4,22,10,21,7,8
5,21,11,20,6,9
6,20,12,19,5,10
7,19,13,20,6,11
8,20,14,21,7,12
9,21,15,20,8,13
10,20,16,19,9,14
11,19,17,18,10,15
12,20,18,17,11,16
13,21,17,17,12,17
14,22,16,18,12,18
15,22,15,19,11,19
16,21,14,20,10,20
15,20,13,21,9,21
14,21,12,20,8,20
13,20,11,21,7,21
12,21,10,20,6,20
11,20,9,21,5,21
10,21,8,20,4,20
9,20,7,21,3,21
8,21,6,20,2,20
7,20,5,21,1,21
6,21,4,20,1,22
5,20,3,21,1,23
4,21,2,22,2,24
5,20,3,23,3,25
4,19,4,24,4,26
4,20,4,25,5,27
4,21,4,26,6,28
4,22,5,27,7,29
5,23,6,28,8,28
5,24,7,27,9,27
4,25,8,26,10,26
5,26,9,25,11,25
6,25,10,26,12,24
7,26,11,25,13,23
8,25,12,24,14,22
9,24,13,23,15,21
10,23,14,22,16,20
11,22,15,21,17,19
12,21,16,20,18,18
13,20,17,19,19,17
14,19,18,18,20,16
15,18,19,17,21,15
16,17,20,16,22,14
17,16,21,15,23,14
18,15,22,15,24,15
19,15,23,15,25,16
20,15,24,15,26,15
21,15,25,15,27,16
22,15,26,15,28,15
23,15,27,15,28,14
24,15,27,15,27,15
