Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
14,1,14,2,14,2
13,12,25,8,8,23
14,11,25,8,9,22
15,10,25,8,10,21
16,9,25,8,11,20
17,8,25,9,12,19
18,9,26,10,13,18
19,10,27,11,14,17
20,11,27,12,15,16
21,12,27,13,16,15
22,13,27,14,17,14
23,14,27,13,18,13
24,13,27,12,19,14
25,12,27,13,20,13
26,13,27,14,21,12
27,14,26,13,22,13
26,13,25,14,21,14
25,14,24,13,20,13
24,13,23,12,19,14
23,12,22,13,19,15
22,13,21,14,18,16
21,14,20,15,17,17
20,15,19,16,16,18
19,16,18,17,15,19
18,17,17,18,14,20
17,18,16,19,13,21
16,19,15,20,12,20
15,20,14,19,11,19
14,19,13,19,10,20
13,19,12,19,9,19
12,19,11,18,8,18
11,18,10,17,7,19
10,17,9,18,6,20
9,18,8,19,5,21
8,19,7,20,4,22
7,20,6,21,3,21
6,21,5,20,2,20
5,20,4,21,1,19
4,21,3,20,1,18
3,20,2,19,2,17
2,19,3,18,3,16
3,18,2,17,4,15
2,17,3,16,5,14
3,16,4,15,6,13
4,15,5,14,7,12
5,14,6,13,8,11
6,13,7,12,9,10
7,12,8,11,10,9
8,11,9,10,11,8
9,10,10,9,12,7
10,9,11,8,13,6
11,8,12,7,14,5
12,7,13,6,15,4
13,6,14,5,15,3
14,5,14,4,14,2
14,4,14,3,13,1
14,3,14,2,14,0
14,2,14,1,13,1
14,1,14,2,14,2
