Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,27,2,11,3,27
22,27,14,10,26,28
21,26,15,11,25,28
20,25,15,12,24,27
19,24,14,11,23,26
18,23,13,10,22,25
17,22,12,9,21,24
16,21,11,8,20,23
15,20,10,7,19,22
14,19,9,6,18,21
13,18,8,5,17,20
12,17,7,4,16,19
11,16,6,3,15,18
10,15,5,2,14,17
9,15,4,1,13,16
9,16,5,2,12,15
8,17,6,3,11,15
7,18,7,4,10,16
6,19,8,5,9,17
5,20,8,6,8,18
4,21,7,7,7,19
3,22,6,7,6,20
2,23,5,8,5,21
2,24,4,9,4,22
2,25,3,10,3,23
3,26,2,11,3,24
2,27,3,12,2,25
3,28,2,11,3,26
2,28,3,12,2,27
3,27,2,11,3,27
