Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
7,17,5,27,5,27
21,1,11,22,15,16
22,1,12,21,16,15
23,1,13,20,17,14
24,1,14,19,18,13
25,1,15,18,19,13
26,1,16,17,20,13
27,1,17,16,20,13
27,1,18,15,20,13
27,1,19,14,19,12
26,0,20,13,18,12
25,1,19,12,17,13
24,2,18,12,16,14
23,3,17,13,15,15
22,4,16,14,14,16
21,5,15,15,13,17
20,6,14,16,12,18
19,7,13,17,11,19
18,7,12,18,10,20
17,8,11,19,9,21
16,9,10,20,9,22
15,10,10,21,10,23
14,11,11,22,11,24
13,12,12,23,10,25
13,13,11,24,9,26
13,14,10,25,8,27
12,15,9,26,7,28
11,16,8,27,6,28
10,17,7,27,5,27
9,18,6,26,4,26
8,18,5,25,3,27
7,18,4,26,3,28
6,18,4,27,4,28
7,17,5,27,5,27
