Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
10,2,11,2,10,3
8,16,6,12,10,22
7,15,5,11,9,21
6,14,4,10,8,20
5,13,3,9,7,19
4,12,2,9,6,18
3,11,3,8,5,17
4,10,4,7,5,16
5,9,3,6,5,15
4,8,3,5,4,14
4,7,4,4,3,13
3,6,5,3,4,12
4,5,6,2,4,11
5,4,7,1,5,10
6,3,8,1,6,9
7,2,9,1,7,9
8,2,10,2,8,8
9,3,11,3,9,7
10,4,12,2,10,6
11,3,11,1,11,5
11,2,10,1,11,4
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
11,2,10,3,10,2
10,2,11,2,10,3
10,3,10,2,11,2
