Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
12,26,3,15,12,26
21,25,3,28,14,5
20,26,2,28,15,6
20,27,3,28,16,7
20,28,3,27,17,8
20,27,3,26,18,9
19,26,3,25,19,10
18,25,3,24,18,11
19,26,3,23,17,11
18,25,4,22,18,12
17,25,3,21,18,13
16,24,4,20,18,14
15,24,5,19,17,15
14,24,6,18,16,16
13,25,5,17,15,17
12,26,6,18,14,18
11,25,7,19,15,17
12,25,6,18,16,16
11,25,5,17,15,17
12,26,6,18,14,18
11,25,5,17,15,17
12,25,6,18,14,18
11,25,5,17,13,17
10,25,4,16,12,18
11,25,5,17,11,19
10,24,4,16,10,20
11,25,5,17,9,21
10,24,4,16,9,22
11,25,5,17,9,23
10,26,4,16,10,24
11,27,3,15,10,25
12,28,4,16,10,26
13,28,3,15,11,27
13,27,4,16,12,27
12,26,3,15,12,26
