Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
11,25,11,25,11,25
21,14,14,16,11,27
20,15,13,17,10,28
19,16,12,18,9,28
18,17,11,19,8,28
17,18,10,20,7,28
16,19,9,21,8,28
15,20,9,22,9,28
14,21,10,23,10,28
13,22,11,24,9,28
12,23,10,25,8,28
11,24,9,26,7,28
10,25,8,27,6,28
9,26,7,27,5,28
8,27,6,27,4,28
7,28,5,28,3,27
8,27,4,28,2,26
7,28,3,27,2,25
8,27,3,26,3,24
8,26,4,25,2,23
8,25,3,24,2,22
7,24,3,23,3,21
8,23,4,22,4,20
8,22,4,21,5,19
8,21,5,20,6,19
9,22,6,20,7,20
10,23,7,21,8,21
11,24,8,22,9,22
12,25,9,23,10,23
12,26,10,24,11,24
11,25,11,25,11,25
