Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,17,3,19,3,19
14,11,16,5,7,24
14,10,17,4,8,23
14,9,18,4,9,22
15,8,19,3,10,21
16,7,20,2,11,20
17,6,20,1,12,19
18,5,21,2,13,18
19,4,20,1,14,17
19,3,19,1,15,16
18,2,20,1,14,17
19,1,21,2,15,16
20,2,22,3,14,17
21,3,23,4,15,18
22,4,24,5,16,17
23,5,25,6,17,16
24,6,26,7,18,15
25,7,27,8,18,14
26,8,27,9,18,13
27,9,26,10,17,14
26,10,25,9,16,15
25,9,24,8,17,14
24,8,23,9,16,13
23,9,22,10,15,14
22,10,21,11,14,15
21,11,20,10,13,16
20,10,19,9,14,15
19,9,18,8,13,14
18,8,17,7,12,13
17,7,16,8,11,12
16,8,15,9,10,13
15,9,14,10,9,14
14,10,13,11,8,15
13,11,12,12,7,16
12,12,11,13,6,17
11,13,10,14,5,18
10,14,9,15,4,19
9,15,8,16,3,19
8,16,7,17,3,19
7,17,6,18,3,19
6,18,5,18,3,18
5,18,4,18,3,19
4,18,3,18,2,20
3,17,3,19,3,19
