Tom_X,Tom_Y,Jerry_X,Jerry_Y,Spike_X,Spike_Y
3,7,3,8,3,7
13,15,13,22,13,1
14,16,12,23,14,2
13,17,11,24,15,3
12,18,10,25,14,4
11,19,9,26,13,5
10,20,8,27,12,6
9,21,7,28,11,7
8,22,6,28,10,8
7,23,6,27,9,9
6,24,7,28,8,10
7,25,8,28,7,11
8,26,7,28,8,12
7,27,6,28,9,13
6,28,7,27,8,14
7,27,8,26,7,13
8,26,7,25,6,12
7,25,6,24,7,11
6,24,7,23,6,10
7,23,8,22,5,11
8,22,7,21,4,10
7,21,6,20,3,9
6,20,5,19,2,8
5,19,4,18,2,7
4,18,3,17,2,7
3,17,4,16,3,6
4,16,5,15,2,7
5,15,4,14,2,8
4,14,3,13,2,7
3,13,4,12,1,8
4,12,5,11,2,9
5,11,4,10,2,8
4,10,3,9,2,7
3,9,3,8,3,6
3,8,3,7,2,7
3,7,3,8,3,7
