X,Y
12,0
13,1
14,2
15,3
16,4
17,5
18,6
19,7
20,8
21,9
22,10
23,11
24,12
25,13
26,14
27,15
28,16
27,17
28,18
27,19
26,20
27,21
28,22
27,23
26,24
27,25
28,26
27,27
26,28
27,29
27,28
26,29
25,28
26,27
27,26
28,25
27,24
28,23
27,22
26,23
25,24
26,25
25,26
24,27
23,28
24,29
24,28
25,27
26,26
25,25
24,26
23,27
22,28
23,29
22,29
21,28
22,27
23,26
24,25
23,24
24,23
25,22
26,21
27,20
26,19
27,18
28,17
27,16
28,15
27,14
26,15
25,16
26,17
25,18
24,19
25,20
24,21
23,22
22,23
21,24
22,25
21,26
20,27
19,28
20,29
20,28
21,27
22,26
23,25
24,24
25,23
26,22
25,21
24,22
23,23
22,24
21,25
20,26
19,27
18,28
19,29
18,29
17,28
18,27
19,26
20,25
19,24
20,23
21,22
22,21
23,20
22,19
23,18
24,17
23,16
24,15
25,14
26,13
27,12
28,11
27,10
28,9
27,8
28,7
27,6
26,7
25,8
26,9
25,10
26,11
25,12
24,13
23,14
22,15
21,16
22,17
21,18
20,19
21,20
20,21
19,22
18,23
17,22
18,21
19,20
18,19
19,18
20,17
19,16
20,15
21,14
22,13
23,12
24,11
23,10
24,9
23,8
24,7
25,6
26,5
27,4
26,3
27,2
28,1
27,0
26,1
25,2
24,3
25,4
24,5
23,6
22,7
21,8
22,9
21,10
22,11
21,12
20,13
19,14
18,15
17,16
18,17
17,18
16,19
17,20
16,21
15,22
14,23
15,24
16,25
17,26
18,25
18,26
19,25
20,24
21,23
22,22
23,21
24,20
25,19
26,18
25,17
26,16
25,15
24,16
23,17
24,18
23,19
22,20
21,21
20,22
19,23
18,24
17,25
16,26
17,27
16,28
17,29
16,29
15,28
16,27
15,26
14,27
13,28
14,29
14,28
15,27
14,26
15,25
14,24
15,23
16,22
17,23
18,22
19,21
20,20
21,19
22,18
21,17
22,16
23,15
24,14
23,13
22,14
21,15
20,16
19,17
20,18
19,19
18,20
17,21
16,20
17,19
18,18
17,17
18,16
19,15
20,14
21,13
22,12
21,11
20,12
19,13
18,14
17,15
16,16
15,17
16,18
15,19
14,20
15,21
14,22
13,23
12,24
11,25
10,26
11,27
12,28
13,29
12,29
11,28
12,27
11,26
12,25
13,24
12,23
13,22
14,21
15,20
14,19
15,18
16,17
15,16
16,15
17,14
18,13
19,12
20,11
19,10
20,9
19,8
20,7
21,6
22,5
23,4
22,3
23,2
24,1
25,0
25,1
26,2
27,3
26,4
27,5
28,6
27,7
28,8
27,9
28,10
27,11
26,12
25,11
26,10
25,9
26,8
25,7
26,6
25,5
24,6
23,7
24,8
23,9
22,8
21,7
22,6
23,5
24,4
25,3
24,2
23,3
22,4
21,5
20,6
19,5
20,4
21,3
22,2
23,1
24,0
23,0
22,1
21,2
20,3
21,4
20,5
19,6
18,7
17,8
18,9
17,10
18,11
17,12
16,13
15,14
14,15
13,16
14,17
13,18
12,19
13,20
12,21
11,22
10,21
11,20
10,19
11,18
12,17
11,16
12,15
13,14
14,13
15,12
16,11
15,10
16,9
15,8
14,9
13,10
14,11
13,12
12,13
11,14
10,15
9,16
10,17
9,18
8,19
9,20
8,21
9,22
8,23
7,24
8,25
9,26
10,27
9,28
10,29
