X,Y
17,0
18,1
19,2
20,3
21,2
22,3
23,4
24,5
25,6
26,7
27,8
26,9
25,10
24,11
23,12
24,13
25,14
26,15
27,16
28,17
27,18
26,19
25,18
26,17
25,16
24,17
23,16
24,15
24,16
25,17
26,18
27,17
28,16
27,15
26,16
25,15
26,14
25,13
24,14
23,15
22,16
21,17
20,16
21,15
22,14
21,13
22,12
23,11
24,10
25,9
26,10
27,9
26,8
25,7
24,8
23,9
22,10
21,11
20,12
19,13
20,14
19,15
18,16
19,17
19,16
20,17
21,16
22,15
21,14
20,15
19,14
20,13
21,12
22,11
23,10
24,9
25,8
24,7
23,8
22,9
21,10
20,11
19,12
18,13
17,14
18,15
17,16
16,17
17,18
16,19
15,20
14,21
15,22
16,23
17,24
18,25
19,26
20,27
21,28
22,29
23,28
24,29
25,28
26,27
27,26
26,25
27,24
28,23
27,22
26,23
25,24
24,25
25,26
24,27
23,26
22,25
23,24
22,23
21,24
20,25
19,24
20,23
21,22
21,23
22,24
23,25
24,26
25,27
24,28
23,27
22,26
21,25
20,24
19,25
18,26
19,27
20,28
21,29
20,29
19,28
18,29
18,28
17,27
16,26
17,25
18,24
19,23
18,22
17,23
16,24
15,25
14,26
15,27
14,28
15,29
15,28
14,29
13,28
14,27
15,26
16,25
15,24
14,25
13,26
12,27
11,28
12,29
12,28
13,27
12,26
13,25
14,24
15,23
14,22
13,23
12,24
11,25
10,26
11,27
10,28
11,29
10,29
9,28
10,27
11,26
12,25
13,24
14,23
13,22
12,23
11,24
10,25
9,26
8,27
7,28
8,29
8,28
9,29
