X,Y
22,0
23,1
24,2
25,1
26,2
27,1
28,0
27,0
26,1
25,2
24,3
23,4
24,5
25,6
26,7
27,6
26,5
26,6
27,7
26,8
25,7
24,8
23,9
24,10
25,11
26,12
27,13
28,14
27,15
28,16
27,17
26,18
27,19
28,20
27,21
28,22
27,23
28,24
27,25
28,26
27,27
28,28
27,29
26,28
25,29
24,28
25,27
26,26
25,25
24,26
23,27
22,28
23,29
23,28
24,29
25,28
26,29
27,28
28,27
27,26
28,25
27,24
28,23
27,22
28,21
27,20
26,21
25,20
26,19
25,18
26,17
27,16
28,15
27,14
28,13
27,12
26,13
25,14
26,15
25,16
24,17
23,18
24,19
23,20
22,19
21,20
20,21
21,22
22,23
23,24
24,25
25,26
24,27
23,26
22,27
21,28
22,29
21,29
20,28
21,27
22,26
23,25
24,24
25,23
26,22
25,21
26,20
25,19
24,20
23,19
22,18
21,19
20,20
19,21
20,22
21,23
22,24
21,25
20,26
19,25
20,24
19,23
18,24
17,25
16,26
17,27
18,28
19,29
18,29
17,28
16,29
15,28
16,27
17,26
18,25
19,26
20,27
21,26
22,25
21,24
20,25
19,24
20,23
19,22
18,23
17,24
16,25
15,26
14,27
13,28
14,29
14,28
15,29
16,28
15,27
14,26
15,25
16,24
17,23
18,22
17,21
18,20
17,19
18,18
19,17
20,18
21,17
22,16
23,15
24,14
25,13
24,12
23,11
22,10
21,11
20,12
19,13
18,14
19,15
20,16
21,15
21,16
22,17
21,18
20,19
19,18
20,17
19,16
20,15
19,14
20,13
19,12
20,11
21,10
22,11
23,12
24,13
25,12
26,11
25,10
24,11
23,10
24,9
25,8
24,7
23,8
22,9
21,8
22,7
23,6
23,7
24,6
25,5
24,4
23,5
22,6
21,7
22,8
21,9
20,10
19,11
18,12
17,13
16,14
17,15
18,16
17,17
16,18
15,19
16,20
15,21
16,22
15,23
14,24
13,25
12,26
13,27
12,28
13,29
12,29
11,28
12,27
13,26
14,25
15,24
16,23
17,22
18,21
17,20
16,21
15,22
14,23
13,24
12,25
11,26
10,27
9,28
10,29
10,28
11,27
10,26
11,25
12,24
13,23
14,22
13,21
14,20
13,19
14,18
15,17
16,16
15,15
14,16
13,17
12,18
11,19
12,20
11,21
12,22
11,23
10,24
9,25
8,26
9,27
8,28
9,29
8,29
7,28
8,27
9,26
10,25
11,24
12,23
13,22
14,21
15,20
16,19
17,18
18,17
17,16
18,15
17,14
18,13
17,12
18,11
19,10
20,9
19,8
20,7
19,6
20,5
21,4
22,3
23,2
24,1
25,0
24,0
23,0
22,1
21,2
20,3
19,4
18,5
17,6
18,7
17,8
18,9
17,10
16,11
15,12
16,13
15,14
16,15
15,16
16,17
15,18
14,19
13,20
12,21
11,22
10,23
9,24
8,25
7,26
6,27
5,28
6,29
6,28
7,29
