X,Y
14,0
15,1
16,2
17,3
18,4
19,5
20,6
21,7
22,8
23,9
24,10
25,11
26,12
27,13
28,14
27,15
28,16
27,17
28,18
27,19
28,20
27,21
28,22
27,23
26,24
27,25
28,26
27,27
28,28
27,29
26,28
25,29
24,28
25,27
26,26
25,25
24,26
23,27
22,28
23,29
23,28
24,29
25,28
26,29
27,28
28,27
27,26
28,25
27,24
28,23
27,22
28,21
27,20
28,19
27,18
28,17
27,16
28,15
27,14
26,15
25,16
26,17
25,18
26,19
25,20
26,21
25,22
26,23
25,24
26,25
25,26
24,27
23,26
24,25
23,24
24,23
23,22
24,21
23,20
24,19
23,18
24,17
23,16
24,15
25,14
26,13
27,12
26,11
25,12
24,13
23,14
22,15
21,16
22,17
21,18
22,19
21,20
22,21
21,22
22,23
21,24
22,25
21,26
22,27
22,26
23,25
24,24
25,23
26,22
25,21
26,20
25,19
26,18
25,17
26,16
25,15
26,14
25,13
24,14
23,15
24,16
23,17
24,18
23,19
24,20
23,21
24,22
23,23
22,24
21,25
20,26
19,27
18,28
17,29
16,28
17,27
18,26
19,25
20,24
21,23
22,22
21,21
22,20
21,19
22,18
21,17
22,16
21,15
22,14
23,13
24,12
23,11
22,12
21,13
20,14
19,13
20,12
21,11
22,10
21,9
20,10
19,11
18,12
17,13
18,14
17,15
18,16
19,17
20,18
19,19
20,20
19,21
20,22
19,23
18,24
17,25
16,26
15,27
14,28
15,29
15,28
16,29
17,28
18,27
19,26
20,25
19,24
20,23
19,22
20,21
19,20
20,19
19,18
20,17
19,16
18,17
17,18
18,19
17,20
18,21
17,22
18,23
17,24
18,25
17,26
16,27
15,26
16,25
15,24
16,23
15,22
16,21
15,20
16,19
15,18
16,17
17,16
18,15
17,14
18,13
19,12
20,13
21,14
22,13
23,12
24,11
25,10
26,9
27,8
28,7
27,6
28,5
27,4
28,3
27,2
28,1
27,0
26,1
25,2
26,3
25,4
26,5
25,6
26,7
25,8
24,9
23,10
22,11
21,12
20,11
21,10
22,9
23,8
24,7
23,6
24,5
23,4
24,3
23,2
24,1
25,0
25,1
26,2
27,3
26,4
27,5
28,6
27,7
26,8
25,9
24,8
25,7
26,6
25,5
24,6
23,7
22,6
23,5
24,4
25,3
24,2
23,3
22,4
21,5
20,4
21,3
22,2
23,1
24,0
23,0
22,1
21,2
22,3
21,4
22,5
21,6
22,7
21,8
20,9
19,10
18,11
17,12
16,13
15,14
16,15
15,16
14,17
13,18
14,19
13,20
14,21
13,22
14,23
13,24
14,25
13,26
14,27
13,28
14,29
13,29
12,28
13,27
14,26
15,25
16,24
17,23
18,22
17,21
18,20
17,19
18,18
17,17
16,18
15,19
16,20
15,21
16,22
15,23
14,24
13,25
12,26
11,27
10,28
11,29
11,28
12,27
11,26
12,25
11,24
12,23
11,22
12,21
11,20
12,19
11,18
12,17
13,16
14,15
13,14
14,13
15,12
16,11
17,10
18,9
19,8
20,7
19,6
20,5
19,4
20,3
19,2
20,1
21,0
21,1
20,2
19,3
18,2
19,1
20,0
19,0
18,1
17,2
18,3
17,4
18,5
17,6
18,7
17,8
16,9
15,10
14,11
13,12
12,13
11,14
12,15
11,16
10,17
9,18
10,19
9,20
10,21
9,22
10,23
9,24
10,25
9,26
10,27
9,28
10,29
9,29
8,28
9,27
10,26
11,25
12,24
13,23
14,22
13,21
14,20
13,19
14,18
15,17
16,16
15,15
16,14
15,13
16,12
17,11
18,10
19,9
20,8
19,7
18,8
17,9
16,10
15,11
14,12
13,13
14,14
13,15
14,16
13,17
12,18
11,19
12,20
11,21
12,22
11,23
10,24
9,25
8,26
7,27
6,28
7,29
7,28
8,27
7,26
8,25
7,24
8,23
7,22
8,21
7,20
8,19
7,18
8,17
9,16
10,15
9,14
10,13
11,12
12,11
13,10
14,9
15,8
16,7
15,6
16,5
15,4
16,3
15,2
16,1
17,0
17,1
16,0
15,0
14,1
13,2
14,3
13,4
14,5
13,6
14,7
13,8
12,9
11,10
10,11
9,12
8,13
7,14
8,15
7,16
6,17
5,18
6,19
5,20
6,21
5,22
6,23
5,24
6,25
5,26
6,27
5,28
6,29
5,29
