X,Y
7,0
8,1
9,2
10,3
11,4
12,5
13,6
14,7
15,8
16,9
17,10
18,11
19,12
20,13
21,14
22,15
23,16
24,17
25,18
26,19
27,20
28,19
27,18
26,17
27,16
28,15
27,14
28,13
27,12
26,13
25,14
26,15
25,16
24,15
23,14
24,13
25,12
26,11
27,10
28,9
27,8
28,7
27,6
26,7
25,8
26,9
25,10
24,11
23,12
22,13
21,12
22,11
23,10
24,9
23,8
24,7
25,6
26,5
27,4
28,3
27,2
28,1
27,0
26,1
25,2
26,3
25,4
24,5
23,6
22,7
21,8
22,9
21,10
20,11
19,10
20,9
19,8
20,7
21,6
22,5
23,4
24,3
23,2
24,1
25,0
25,1
26,2
27,3
28,4
27,5
28,6
27,7
28,8
27,9
28,10
27,11
28,12
27,13
28,14
27,15
28,16
27,17
26,18
27,19
28,20
27,21
26,22
27,23
26,24
27,25
28,26
27,27
26,28
27,29
27,28
28,27
27,26
28,25
27,24
26,25
25,26
26,27
25,28
24,27
23,28
22,29
21,28
22,27
23,26
24,25
25,24
26,23
27,22
26,21
25,22
24,23
23,24
22,25
22,26
23,27
24,26
25,27
26,26
25,25
24,24
25,23
24,22
25,21
26,20
25,19
24,20
23,21
22,22
23,23
23,22
24,21
25,20
24,19
23,20
22,21
21,22
20,21
21,20
22,19
23,18
22,17
21,18
20,19
19,20
18,21
17,22
18,23
19,24
20,25
19,26
18,27
17,28
16,29
15,28
16,27
17,26
18,25
17,24
16,25
15,26
14,27
13,28
14,29
