X,Y
24,0
25,1
26,2
27,3
28,2
27,1
28,0
28,1
27,2
28,3
27,4
26,3
25,4
24,5
25,6
26,7
27,8
26,9
27,10
28,11
27,12
26,13
27,14
26,15
27,16
28,17
27,18
26,19
27,20
28,21
27,22
26,23
25,22
26,21
25,20
24,21
23,22
24,23
23,24
24,25
25,26
26,27
27,28
28,29
27,29
26,28
27,27
26,26
25,27
24,28
25,29
25,28
24,29
23,28
24,27
23,26
22,27
21,26
22,25
21,24
22,23
21,22
22,21
23,20
24,19
25,18
26,17
25,16
24,17
23,18
22,19
21,20
20,21
19,22
20,23
19,24
20,25
19,26
20,27
19,28
20,29
20,28
21,27
22,28
23,27
24,26
25,25
24,24
25,23
26,22
27,23
28,22
27,21
26,20
25,21
24,22
23,23
22,24
23,25
22,26
21,25
20,26
19,27
18,28
19,29
18,29
17,28
18,27
17,26
18,25
17,24
18,23
17,22
18,21
19,20
20,19
21,18
22,17
23,16
24,15
25,14
24,13
25,12
26,11
25,10
24,11
23,12
22,13
23,14
22,15
21,16
20,17
19,18
18,19
17,20
16,21
15,22
16,23
15,24
16,25
15,26
16,27
15,28
16,29
16,28
17,27
18,26
19,25
20,24
21,23
22,22
23,21
24,20
25,19
26,18
27,17
28,16
27,15
26,16
25,17
24,18
23,19
22,20
21,21
20,22
19,23
18,24
17,25
16,26
15,27
14,28
15,29
14,29
13,28
14,27
13,26
14,25
13,24
14,23
13,22
14,21
13,20
12,21
11,22
12,23
11,24
12,25
11,26
12,27
11,28
12,29
12,28
13,29
