X,Y
12,0
13,1
14,2
15,1
16,0
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,8
25,7
26,8
27,7
27,8
26,7
25,8
24,9
23,10
22,11
23,12
24,13
23,14
22,15
21,16
20,17
21,18
22,19
23,20
24,19
25,20
26,21
27,20
26,19
27,18
26,17
27,16
27,17
26,18
27,19
26,20
27,21
26,22
25,21
24,22
23,23
22,24
23,25
24,26
25,27
24,28
25,29
25,28
24,29
23,28
24,27
23,26
23,27
22,28
23,29
22,29
21,28
20,27
19,26
20,25
21,24
22,23
23,22
22,21
21,22
20,23
19,24
18,25
17,26
18,27
17,28
16,29
15,28
16,27
15,26
16,25
17,24
18,23
19,22
20,21
21,20
20,19
19,20
18,21
17,22
16,23
15,24
14,25
13,26
14,27
13,28
14,29
