X,Y
5,0
6,1
7,2
8,3
9,4
10,5
11,6
12,7
13,8
14,9
15,10
16,11
17,12
18,13
19,14
20,15
21,16
22,17
23,18
24,19
25,20
26,21
27,20
28,19
27,18
26,19
25,18
26,17
27,16
26,15
25,16
24,17
23,16
24,15
23,14
24,13
23,12
24,11
25,10
26,9
27,8
26,7
25,8
24,9
23,10
22,11
21,12
22,13
21,14
22,15
22,16
23,17
24,18
25,19
26,20
27,21
28,20
27,19
28,18
27,17
26,18
25,17
26,16
25,15
24,16
23,15
24,14
23,13
24,12
23,11
24,10
25,9
26,10
27,9
26,8
27,7
26,6
25,7
24,8
23,9
22,10
21,11
22,12
21,13
22,14
21,15
20,16
21,17
22,18
23,19
24,20
25,21
24,22
25,23
26,24
25,25
26,26
25,27
26,28
27,29
27,28
26,29
25,28
26,27
25,26
26,25
25,24
24,23
25,22
24,21
23,20
22,19
21,18
20,17
19,18
18,19
19,20
18,21
19,22
20,23
21,24
22,25
23,26
24,27
23,28
24,29
24,28
23,29
22,28
21,29
20,28
19,29
18,28
17,29
16,28
17,27
16,26
15,27
14,28
15,29
15,28
16,27
15,26
16,25
17,24
18,23
17,22
16,23
15,24
14,25
13,26
14,27
13,28
14,29
13,29
12,28
13,27
14,26
15,25
16,24
17,23
18,22
19,21
20,20
19,19
20,18
19,17
18,18
17,19
18,20
17,21
16,22
15,23
14,24
13,25
12,26
11,27
10,28
11,29
11,28
12,29
