X,Y
4,0
5,1
6,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,8
13,7
12,6
13,5
14,4
15,5
16,6
17,7
18,6
17,5
18,4
17,3
18,2
19,1
20,0
21,1
22,2
23,3
24,4
25,3
26,4
27,5
28,6
27,7
28,8
27,9
26,10
27,11
26,12
27,13
28,14
27,15
26,16
27,17
28,18
27,19
26,20
27,21
28,22
27,23
28,24
27,25
26,26
27,27
26,28
27,29
27,28
26,29
25,28
26,27
27,26
28,25
27,24
28,23
27,22
26,23
25,24
26,25
25,26
24,27
23,28
24,29
24,28
25,27
24,26
25,25
26,24
25,23
26,22
25,21
24,22
23,23
24,24
23,25
22,26
23,27
22,28
23,29
22,29
21,28
22,27
23,26
24,25
23,24
24,23
25,22
26,21
27,20
26,19
27,18
28,17
27,16
28,15
27,14
26,15
25,16
26,17
25,18
24,19
25,20
24,21
23,22
22,23
21,24
22,25
21,26
20,25
19,26
18,27
17,28
18,29
18,28
17,29
16,28
17,27
18,26
19,25
20,26
21,25
22,24
21,23
20,24
19,23
20,22
21,21
20,20
19,21
18,20
17,19
18,18
19,17
20,16
21,17
22,18
23,17
24,18
25,19
26,18
25,17
24,16
25,15
26,14
25,13
24,14
23,15
22,16
21,15
22,14
23,13
24,12
25,11
24,10
25,9
26,8
25,7
26,6
26,7
27,8
28,7
27,6
28,5
27,4
26,5
25,6
24,7
25,8
26,9
25,10
26,11
27,12
26,13
25,14
24,15
23,16
22,17
21,18
20,19
21,20
20,21
19,22
20,23
19,24
18,25
17,26
16,27
15,28
16,29
15,29
14,28
15,27
16,26
17,25
18,24
18,23
17,24
16,25
15,26
14,27
13,28
14,29
