X,Y
4,0
5,1
6,2
7,3
8,4
9,5
10,6
11,7
12,8
13,9
14,10
15,9
16,8
17,9
18,10
19,11
20,12
21,13
22,14
23,15
24,16
25,17
26,18
27,19
28,20
27,21
28,22
27,23
26,24
27,25
28,26
27,27
28,28
27,29
26,28
25,29
24,28
25,27
26,26
25,25
24,26
23,27
22,28
23,29
23,28
24,29
25,28
26,29
27,28
28,27
27,26
28,25
27,24
26,25
25,26
24,27
23,26
24,25
25,24
26,23
27,22
28,21
27,20
28,19
27,18
26,19
25,20
26,21
25,22
24,23
23,24
22,25
21,26
22,27
21,28
22,29
21,29
20,28
21,27
22,26
23,25
24,24
25,23
26,22
25,21
26,20
25,19
24,20
23,21
24,22
23,23
22,24
21,25
20,26
19,27
18,28
19,29
19,28
20,27
19,26
20,25
21,24
22,23
23,22
24,21
23,20
24,19
25,18
26,17
27,16
26,15
27,14
28,13
27,12
28,11
27,10
28,9
27,8
26,9
25,10
26,11
25,12
26,13
25,14
24,15
25,16
24,17
23,18
22,19
21,20
22,21
21,22
20,23
19,24
18,25
17,26
18,27
17,28
18,29
17,29
16,28
17,27
18,26
19,25
20,24
21,23
22,22
21,21
22,20
23,19
24,18
23,17
22,16
21,15
20,16
19,17
20,18
21,19
20,20
19,21
20,22
19,23
18,24
17,25
16,26
15,27
14,28
15,29
15,28
16,27
15,26
16,25
17,24
18,23
19,22
20,21
19,20
20,19
19,18
20,17
21,16
22,17
23,16
22,15
23,14
24,13
23,12
24,11
23,10
24,9
25,8
26,7
27,6
26,5
25,6
24,7
23,8
22,9
21,10
22,11
21,12
22,13
21,14
20,15
19,16
18,17
17,18
18,19
17,20
18,21
17,22
16,23
15,24
14,25
13,26
14,27
13,28
14,29
13,29
12,28
13,27
14,26
15,25
16,24
17,23
18,22
17,21
18,20
19,19
18,18
17,19
16,20
15,21
16,22
15,23
14,24
13,25
12,26
11,27
10,28
11,29
11,28
12,27
11,26
12,25
13,24
14,23
15,22
16,21
15,20
16,19
15,18
16,17
17,16
18,15
19,14
20,13
19,12
20,11
19,10
20,9
21,8
22,7
23,6
24,5
25,4
26,3
27,2
28,1
27,0
26,1
25,2
24,3
23,4
22,5
21,6
20,7
19,8
18,9
17,10
18,11
17,12
18,13
17,14
16,15
15,16
14,17
13,18
14,19
13,20
14,21
13,22
12,23
11,24
10,25
9,26
10,27
9,28
10,29
9,29
8,28
9,27
10,26
11,25
12,24
13,23
14,22
13,21
14,20
15,19
16,18
17,17
18,16
19,15
20,14
19,13
18,14
17,15
16,16
15,17
14,18
13,19
12,20
11,21
12,22
11,23
10,24
9,25
8,26
7,27
6,28
7,29
