X,Y
26,0
27,1
28,2
27,3
26,4
25,5
26,6
27,7
26,8
27,9
28,10
27,11
28,12
27,13
28,14
27,15
26,16
27,17
26,18
25,17
24,18
23,19
24,20
25,21
26,22
27,23
28,22
27,21
27,22
28,23
27,24
26,25
27,26
26,27
27,28
28,29
27,29
26,28
27,27
26,26
25,27
24,28
25,29
25,28
24,29
23,28
24,27
25,26
24,25
25,24
26,23
25,22
26,21
25,20
24,21
23,22
24,23
23,24
22,25
23,26
22,27
21,28
22,29
22,28
23,27
24,26
25,25
26,24
25,23
24,24
23,25
22,26
21,27
20,28
21,29
20,29
19,28
20,27
21,26
20,25
21,24
22,23
21,22
22,21
23,20
24,19
25,18
26,17
27,16
26,15
27,14
28,13
27,12
28,11
27,10
28,9
27,8
26,9
25,10
26,11
25,12
26,13
25,14
24,15
25,16
24,17
23,18
22,19
21,20
20,21
19,22
20,23
19,24
18,25
19,26
18,27
17,28
18,29
18,28
19,27
20,26
21,25
22,24
23,23
24,22
23,21
22,22
21,23
20,24
19,25
18,24
19,23
20,22
21,21
22,20
21,19
22,18
23,17
24,16
25,15
26,14
25,13
26,12
25,11
26,10
25,9
24,10
23,9
24,8
25,7
24,6
23,7
22,8
21,9
22,10
21,11
22,12
23,13
24,14
23,15
22,16
21,17
20,18
19,19
20,20
19,21
18,22
17,23
16,24
15,23
16,22
17,21
18,20
17,19
18,18
19,17
20,16
21,15
22,14
21,13
20,14
19,15
18,16
17,17
16,18
15,19
16,20
15,21
14,22
13,23
14,24
13,25
12,26
13,27
14,28
15,29
16,28
17,29
16,29
15,28
16,27
15,27
14,27
13,28
14,29
